Code,Description,last_updated
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",09-06-2025
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",09-06-2025
A00.9,"Cholera, unspecified",09-06-2025
A01.0,Typhoid fever,09-06-2025
A01.1,Paratyphoid fever A,09-06-2025
A01.2,Paratyphoid fever B,09-06-2025
A01.3,Paratyphoid fever C,09-06-2025
A01.4,"Paratyphoid fever, unspecified",09-06-2025
A02.0,Salmonella enteritis,09-06-2025
A02.1,Salmonella sepsis,09-06-2025
A02.2,Localized salmonella infections,09-06-2025
A02.8,Other specified salmonella infections,09-06-2025
A02.9,"Salmonella infection, unspecified",09-06-2025
A03.0,Shigellosis due to Shigella dysenteriae,09-06-2025
A03.1,Shigellosis due to Shigella flexneri,09-06-2025
A03.2,Shigellosis due to Shigella boydii,09-06-2025
A03.3,Shigellosis due to Shigella sonnei,09-06-2025
A03.8,Other shigellosis,09-06-2025
A03.9,"Shigellosis, unspecified",09-06-2025
A04.0,Enteropathogenic Escherichia coli infection,09-06-2025
A04.1,Enterotoxigenic Escherichia coli infection,09-06-2025
A04.2,Enteroinvasive Escherichia coli infection,09-06-2025
A04.3,Enterohaemorrhagic Escherichia coli infection,09-06-2025
A04.4,Other intestinal Escherichia coli infections,09-06-2025
A04.5,Campylobacter enteritis,09-06-2025
A04.6,Enteritis due to Yersinia enterocolitica,09-06-2025
A04.7,Enterocolitis due to Clostridium difficile,09-06-2025
A04.8,Other specified bacterial intestinal infections,09-06-2025
A04.9,"Bacterial intestinal infection, unspecified",09-06-2025
A05.0,Foodborne staphylococcal intoxication,09-06-2025
A05.1,Botulism,09-06-2025
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,09-06-2025
A05.3,Foodborne Vibrio parahaemolyticus intoxication,09-06-2025
A05.4,Foodborne Bacillus cereus intoxication,09-06-2025
A05.8,Other specified bacterial foodborne intoxications,09-06-2025
A05.9,"Bacterial foodborne intoxication, unspecified",09-06-2025
A06.0,Acute amoebic dysentery,09-06-2025
A06.1,Chronic intestinal amoebiasis,09-06-2025
A06.2,Amoebic nondysenteric colitis,09-06-2025
A06.3,Amoeboma of intestine,09-06-2025
A06.4,Amoebic liver abscess,09-06-2025
A06.5,Amoebic lung abscess,09-06-2025
A06.6,Amoebic brain abscess,09-06-2025
A06.7,Cutaneous amoebiasis,09-06-2025
A06.8,Amoebic infection of other sites,09-06-2025
A06.9,"Amoebiasis, unspecified",09-06-2025
A07.0,Balantidiasis,09-06-2025
A07.1,Giardiasis [lambliasis],09-06-2025
A07.2,Cryptosporidiosis,09-06-2025
A07.3,Isosporiasis,09-06-2025
A07.8,Other specified protozoal intestinal diseases,09-06-2025
A07.9,"Protozoal intestinal disease, unspecified",09-06-2025
A08.0,Rotaviral enteritis,09-06-2025
A08.1,Acute gastroenteropathy due to Norovirus,09-06-2025
A08.2,Adenoviral enteritis,09-06-2025
A08.3,Other viral enteritis,09-06-2025
A08.4,"Viral intestinal infection, unspecified",09-06-2025
A08.5,Other specified intestinal infections,09-06-2025
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,09-06-2025
A09.9,Gastroenteritis and colitis of unspecified origin,09-06-2025
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",09-06-2025
A15.1,"Tuberculosis of lung, confirmed by culture only",09-06-2025
A15.2,"Tuberculosis of lung, confirmed histologically",09-06-2025
A15.3,"Tuberculosis of lung, confirmed by unspecified means",09-06-2025
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",09-06-2025
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",09-06-2025
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",09-06-2025
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",09-06-2025
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",09-06-2025
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",09-06-2025
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",09-06-2025
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",09-06-2025
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",09-06-2025
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",09-06-2025
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",09-06-2025
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",09-06-2025
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,09-06-2025
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",09-06-2025
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",09-06-2025
A17.0,Tuberculous meningitis,09-06-2025
A17.1,Meningeal tuberculoma,09-06-2025
A17.8,Other tuberculosis of nervous system,09-06-2025
A17.9,"Tuberculosis of nervous system, unspecified",09-06-2025
A18.0,Tuberculosis of bones and joints,09-06-2025
A18.1,Tuberculosis of genitourinary system,09-06-2025
A18.2,Tuberculous peripheral lymphadenopathy,09-06-2025
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",09-06-2025
A18.4,Tuberculosis of skin and subcutaneous tissue,09-06-2025
A18.5,Tuberculosis of eye,09-06-2025
A18.6,Tuberculosis of ear,09-06-2025
A18.7,Tuberculosis of adrenal glands,09-06-2025
A18.8,Tuberculosis of other specified organs,09-06-2025
A19.0,Acute miliary tuberculosis of a single specified site,09-06-2025
A19.1,Acute miliary tuberculosis of multiple sites,09-06-2025
A19.2,"Acute miliary tuberculosis, unspecified",09-06-2025
A19.8,Other miliary tuberculosis,09-06-2025
A19.9,"Miliary tuberculosis, unspecified",09-06-2025
A20.0,Bubonic plague,09-06-2025
A20.1,Cellulocutaneous plague,09-06-2025
A20.2,Pneumonic plague,09-06-2025
A20.3,Plague meningitis,09-06-2025
A20.7,Septicaemic plague,09-06-2025
A20.8,Other forms of plague,09-06-2025
A20.9,"Plague, unspecified",09-06-2025
A21.0,Ulceroglandular tularaemia,09-06-2025
A21.1,Oculoglandular tularaemia,09-06-2025
A21.2,Pulmonary tularaemia,09-06-2025
A21.3,Gastrointestinal tularaemia,09-06-2025
A21.7,Generalized tularaemia,09-06-2025
A21.8,Other forms of tularaemia,09-06-2025
A21.9,"Tularaemia, unspecified",09-06-2025
A22.0,Cutaneous anthrax,09-06-2025
A22.1,Pulmonary anthrax,09-06-2025
A22.2,Gastrointestinal anthrax,09-06-2025
A22.7,Anthrax sepsis,09-06-2025
A22.8,Other forms of anthrax,09-06-2025
A22.9,"Anthrax, unspecified",09-06-2025
A23.0,Brucellosis due to Brucella melitensis,09-06-2025
A23.1,Brucellosis due to Brucella abortus,09-06-2025
A23.2,Brucellosis due to Brucella suis,09-06-2025
A23.3,Brucellosis due to Brucella canis,09-06-2025
A23.8,Other brucellosis,09-06-2025
A23.9,"Brucellosis, unspecified",09-06-2025
A24.0,Glanders,09-06-2025
A24.1,Acute and fulminating melioidosis,09-06-2025
A24.2,Subacute and chronic melioidosis,09-06-2025
A24.3,Other melioidosis,09-06-2025
A24.4,"Melioidosis, unspecified",09-06-2025
A25.0,Spirillosis,09-06-2025
A25.1,Streptobacillosis,09-06-2025
A25.9,"Rat-bite fever, unspecified",09-06-2025
A26.0,Cutaneous erysipeloid,09-06-2025
A26.7,Erysipelothrix sepsis,09-06-2025
A26.8,Other forms of erysipeloid,09-06-2025
A26.9,"Erysipeloid, unspecified",09-06-2025
A27.0,Leptospirosis icterohaemorrhagica,09-06-2025
A27.8,Other forms of leptospirosis,09-06-2025
A27.9,"Leptospirosis, unspecified",09-06-2025
A28.0,Pasteurellosis,09-06-2025
A28.1,Cat-scratch disease,09-06-2025
A28.2,Extraintestinal yersiniosis,09-06-2025
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",09-06-2025
A28.9,"Zoonotic bacterial disease, unspecified",09-06-2025
A30.0,Indeterminate leprosy,09-06-2025
A30.1,Tuberculoid leprosy,09-06-2025
A30.2,Borderline tuberculoid leprosy,09-06-2025
A30.3,Borderline leprosy,09-06-2025
A30.4,Borderline lepromatous leprosy,09-06-2025
A30.5,Lepromatous leprosy,09-06-2025
A30.8,Other forms of leprosy,09-06-2025
A30.9,"Leprosy, unspecified",09-06-2025
A31.0,Pulmonary mycobacterial infection,09-06-2025
A31.1,Cutaneous mycobacterial infection,09-06-2025
A31.8,Other mycobacterial infections,09-06-2025
A31.9,"Mycobacterial infection, unspecified",09-06-2025
A32.0,Cutaneous listeriosis,09-06-2025
A32.1,Listerial meningitis and meningoencephalitis,09-06-2025
A32.7,Listerial sepsis,09-06-2025
A32.8,Other forms of listeriosis,09-06-2025
A32.9,"Listeriosis, unspecified",09-06-2025
A36.0,Pharyngeal diphtheria,09-06-2025
A36.1,Nasopharyngeal diphtheria,09-06-2025
A36.2,Laryngeal diphtheria,09-06-2025
A36.3,Cutaneous diphtheria,09-06-2025
A36.8,Other diphtheria,09-06-2025
A36.9,"Diphtheria, unspecified",09-06-2025
A37.0,Whooping cough due to Bordetella pertussis,09-06-2025
A37.1,Whooping cough due to Bordetella parapertussis,09-06-2025
A37.8,Whooping cough due to other Bordetella species,09-06-2025
A37.9,"Whooping cough, unspecified",09-06-2025
A39.0,Meningococcal meningitis,09-06-2025
A39.1,Waterhouse-Friderichsen syndrome,09-06-2025
A39.2,Acute meningococcaemia,09-06-2025
A39.3,Chronic meningococcaemia,09-06-2025
A39.4,"Meningococcaemia, unspecified",09-06-2025
A39.5,Meningococcal heart disease,09-06-2025
A39.8,Other meningococcal infections,09-06-2025
A39.9,"Meningococcal infection, unspecified",09-06-2025
A40.0,"Sepsis due to streptococcus, group A",09-06-2025
A40.1,"Sepsis due to streptococcus, group B",09-06-2025
A40.2,"Sepsis due to streptococcus, group D and enterococcus",09-06-2025
A40.3,Sepsis due to Streptococcus pneumoniae,09-06-2025
A40.8,Other streptococcal sepsis,09-06-2025
A40.9,"Streptococcal sepsis, unspecified",09-06-2025
A41.0,Sepsis due to Staphylococcus aureus,09-06-2025
A41.1,Sepsis due to other specified staphylococcus,09-06-2025
A41.2,Sepsis due to unspecified staphylococcus,09-06-2025
A41.3,Sepsis due to Haemophilus influenzae,09-06-2025
A41.4,Sepsis due to anaerobes,09-06-2025
A41.5,Sepsis due to other Gram-negative organisms,09-06-2025
A41.8,Other specified sepsis,09-06-2025
A41.9,"Sepsis, unspecified",09-06-2025
A42.0,Pulmonary actinomycosis,09-06-2025
A42.1,Abdominal actinomycosis,09-06-2025
