Code,Description,last_updated
101013,Neoplasm of anterior aspect of epiglottis,09-06-2025
102018,Neoplasm of junctional region of epiglottis,09-06-2025
103011,Neoplasm of lateral wall of oropharynx,09-06-2025
104017,Neoplasm of posterior wall of oropharynx,09-06-2025
105016,Neoplasm of esophagus,09-06-2025
106015,Neoplasm of cervical esophagus,09-06-2025
107012,Neoplasm of thoracic esophagus,09-06-2025
108019,Neoplasm of abdominal esophagus,09-06-2025
110017,Neoplasm of middle third of esophagus,09-06-2025
111018,Neoplasm of lower third of esophagus,09-06-2025
112013,Neoplasm of stomach,09-06-2025
113015,Neoplasm of cardia of stomach,09-06-2025
114014,Neoplasm of fundus of stomach,09-06-2025
115010,Neoplasm of body of stomach,09-06-2025
116011,Neoplasm of lesser curvature of stomach,09-06-2025
117019,Neoplasm of greater curvature of stomach,09-06-2025
118012,Neoplasm of pyloric antrum,09-06-2025
119016,Neoplasm of pylorus,09-06-2025
120010,Neoplasm of small intestine,09-06-2025
121014,Neoplasm of duodenum,09-06-2025
122019,Neoplasm of jejunum,09-06-2025
123012,Neoplasm of ileum,09-06-2025
124018,Neoplasm of Meckel's diverticulum,09-06-2025
125017,Neoplasm of large intestine,09-06-2025
126016,Neoplasm of colon,09-06-2025
127013,Neoplasm of cecum,09-06-2025
128015,Neoplasm of ascending colon,09-06-2025
129011,Neoplasm of hepatic flexure of colon,09-06-2025
130018,Neoplasm of transverse colon,09-06-2025
131019,Neoplasm of splenic flexure of colon,09-06-2025
132014,Neoplasm of descending colon,09-06-2025
133016,Neoplasm of sigmoid colon,09-06-2025
134010,Neoplasm of appendix,09-06-2025
135011,Neoplasm of rectum,09-06-2025
136012,Neoplasm of rectosigmoid junction,09-06-2025
137015,Neoplasm of anus,09-06-2025
138013,Neoplasm of anal canal,09-06-2025
139017,Neoplasm of liver,09-06-2025
140015,Neoplasm of intrahepatic bile ducts,09-06-2025
141016,Neoplasm of biliary tract,09-06-2025
142011,Neoplasm of gallbladder,09-06-2025
143018,Neoplasm of extrahepatic bile ducts,09-06-2025
144012,Neoplasm of cystic duct,09-06-2025
145013,Neoplasm of common bile duct,09-06-2025
146014,Neoplasm of ampulla of Vater,09-06-2025
147017,Neoplasm of pancreas,09-06-2025
148010,Neoplasm of head of pancreas,09-06-2025
149019,Neoplasm of body of pancreas,09-06-2025
150019,Neoplasm of tail of pancreas,09-06-2025
151015,Neoplasm of pancreatic duct,09-06-2025
152010,Neoplasm of islets of Langerhans,09-06-2025
153017,Neoplasm of the peritoneum,09-06-2025
154011,Neoplasm of parietal peritoneum,09-06-2025
155012,Neoplasm of pelvic peritoneum,09-06-2025
156013,Neoplasm of rectouterine pouch,09-06-2025
157016,Neoplasm of the mesentery,09-06-2025
158014,Neoplasm of the mesocolon,09-06-2025
159018,Neoplasm of the omentum,09-06-2025
160011,Neoplasm of the retroperitoneum,09-06-2025
161010,Neoplasm of periadrenal tissue,09-06-2025
162015,Neoplasm of perirenal tissue,09-06-2025
163013,Neoplasm of retrocecal tissue,09-06-2025
164019,Neoplasm of mesothelial tissue of peritoneum,09-06-2025
165018,Disorder of glucose metabolism,09-06-2025
166017,Persistent preputial frenulum,09-06-2025
167014,Neoplasm of urinary system,09-06-2025
168016,Neoplasm of kidney,09-06-2025
169012,Neoplasm of renal pelvis,09-06-2025
170013,Neoplasm of ureter,09-06-2025
171012,Neoplasm of urethra,09-06-2025
172017,Neoplasm of paraurethral glands,09-06-2025
173010,Neoplasm of bladder,09-06-2025
174016,Neoplasm of trigone of urinary bladder,09-06-2025
175015,Neoplasm of apex of urinary bladder,09-06-2025
176019,Neoplasm of lateral wall of urinary bladder,09-06-2025
177011,Neoplasm of anterior wall of urinary bladder,09-06-2025
178018,Neoplasm of posterior wall of urinary bladder,09-06-2025
179014,Neoplasm of urinary bladder neck,09-06-2025
180012,Neoplasm of ureteric orifice of urinary bladder,09-06-2025
181011,Neoplasm of urachus,09-06-2025
183014,Neoplasm of male genital organ,09-06-2025
184015,Neoplasm of penis,09-06-2025
185019,Neoplasm of prepuce,09-06-2025
186018,Neoplasm of glans penis,09-06-2025
187010,Neoplasm of body of penis,09-06-2025
188017,Neoplasm of testis,09-06-2025
189013,Neoplasm of undescended testis,09-06-2025
190016,Neoplasm of epididymis,09-06-2025
191017,Neoplasm of vas deferens,09-06-2025
192012,Neoplasm of spermatic cord,09-06-2025
193019,Neoplasm of scrotum,09-06-2025
194013,Neoplasm of prostate,09-06-2025
195014,Neoplasm of female genital organ,09-06-2025
196010,Neoplasm of uterus,09-06-2025
197018,Neoplasm of body of uterus,09-06-2025
198011,Neoplasm of myometrium,09-06-2025
199015,Neoplasm of isthmus of uterus,09-06-2025
200017,Neoplasm of endocervix,09-06-2025
201018,Neoplasm of exocervix,09-06-2025
202013,Neoplasm of fundus uteri,09-06-2025
203015,Neoplasm of uterine adnexa,09-06-2025
204014,Neoplasm of fallopian tube,09-06-2025
205010,Neoplasm of broad ligament,09-06-2025
206011,Neoplasm of parametrium,09-06-2025
207019,Neoplasm of round ligament of uterus,09-06-2025
208012,Neoplasm of placenta,09-06-2025
209016,Neoplasm of vagina,09-06-2025
210014,Neoplasm of vulva,09-06-2025
211013,Neoplasm of labia majora,09-06-2025
212018,Neoplasm of labia minora,09-06-2025
213011,Neoplasm of clitoris,09-06-2025
214017,Neoplasm of breast,09-06-2025
215016,Neoplasm of female breast,09-06-2025
